City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,orchard homes,46.8633,-114.0484,0.47,82,0,0.89,US,1711875435
146,haiku-pauwela,20.9219,-156.3051,21.13,88,40,5.14,US,1711875615
147,tancacha,-32.2431,-63.9807,19.01,36,20,3.74,AR,1711875615
148,klyuchi,52.2667,79.1667,4.05,68,98,7.08,RU,1711875616
149,al kharj,24.155,47.3346,26.32,28,77,5.08,SA,1711875616
150,wynyard,-41.0,145.7167,13.93,87,77,1.3,AU,1711875616
151,al khawr,25.7667,51.3167,27.52,23,100,4.63,QA,1711875617
152,quepos,9.4236,-84.1652,24.64,48,40,2.86,CR,1711875617
153,kokpekty,48.75,82.4,2.67,99,92,2.03,KZ,1711875618
154,monrovia,6.3005,-10.7969,28.31,70,25,1.1,LR,1711875619
155,yeppoon,-23.1333,150.7333,24.88,75,76,6.54,AU,1711875619
156,vila franca do campo,37.7167,-25.4333,11.23,57,52,5.36,PT,1711875620
157,taytayan,7.7339,126.5019,27.66,73,66,1.5,PH,1711875620
158,shalqar,47.8333,59.6,9.42,39,36,4.46,KZ,1711875621
159,hamilton,39.1834,-84.5333,12.64,89,75,4.12,US,1711875344
160,cobram,-35.9167,145.65,25.24,22,0,2.59,AU,1711875622
161,kourou,5.1552,-52.6478,25.03,92,100,2.59,GF,1711875607
162,stanley,54.868,-1.6985,8.21,88,100,1.03,GB,1711875623
163,arraial do cabo,-22.9661,-42.0278,23.57,90,2,6.84,BR,1711875385
164,sukhodol,53.9006,51.2117,1.77,100,100,3.27,RU,1711875624
165,benguela,-12.5763,13.4055,30.02,69,74,1.33,AO,1711875624
166,longyearbyen,78.2186,15.6401,-22.09,59,20,3.6,SJ,1711875625
167,moussoro,13.6408,16.4901,38.77,7,100,8.07,TD,1711875625
168,bossangoa,6.4926,17.4552,37.69,24,100,2.64,CF,1711875626
169,merida,20.9667,-89.6167,21.04,79,0,2.89,MX,1711875526
170,carnarvon,-24.8667,113.6333,25.98,73,100,10.83,AU,1711875627
171,chos malal,-37.3781,-70.2709,13.71,26,71,0.23,AR,1711875627
172,fortuna,40.5982,-124.1573,10.51,93,100,0.0,US,1711875057
173,lake albert,-35.1667,147.3833,26.03,29,0,2.13,AU,1711875628
174,walvis bay,-22.9575,14.5053,15.05,84,45,4.68,NA,1711875629
175,happy valley-goose bay,53.3168,-60.3315,1.17,93,100,2.57,CA,1711875608
176,timbuktu,16.7735,-3.0074,34.32,12,100,6.65,ML,1711875630
177,kralendijk,12.15,-68.2667,25.99,73,20,4.12,BQ,1711875452
178,saint-pierre,-21.3393,55.4781,29.82,70,100,9.26,RE,1711875463
179,newman,37.3138,-121.0208,10.7,89,52,1.34,US,1711875345
180,keflavik,64.0049,-22.5624,-2.76,63,20,13.38,IS,1711875631
181,salekhard,66.53,66.6019,-9.67,83,72,3.95,RU,1711875633
182,gisborne,-38.6533,178.0042,9.27,96,1,1.38,NZ,1711875633
183,prado,-17.3411,-39.2208,24.4,89,85,2.44,BR,1711875633
184,touros,-5.1989,-35.4608,24.31,91,100,2.74,BR,1711875577
185,barra do garcas,-15.89,-52.2567,22.96,96,100,0.38,BR,1711875606
186,durban,-29.8579,31.0292,26.51,67,0,9.06,ZA,1711875343
187,ambon,-3.6954,128.1814,31.08,66,40,3.09,ID,1711875635
188,mhamid,29.82,-5.72,17.66,54,0,10.39,MA,1711875635
189,susuman,62.7833,148.1667,-8.34,96,100,1.34,RU,1711875636
190,kitgum,3.2783,32.8867,34.2,32,100,5.1,UG,1711875636
191,campanario,38.8644,-5.6174,9.14,82,96,8.87,ES,1711875637
192,udachny,66.4167,112.4,-6.98,79,61,9.39,RU,1711875637
193,eirunepe,-6.6603,-69.8736,23.54,98,100,0.44,BR,1711875638
194,ouesso,1.6136,16.0517,34.19,43,99,1.64,CG,1711875638
195,daru,-9.0763,143.2092,26.48,89,100,2.19,PG,1711875639
196,florence,43.7667,11.25,18.23,82,75,2.57,IT,1711875624
197,bilibino,68.0546,166.4372,-32.81,99,66,1.81,RU,1711875639
198,abuyog,10.6667,125.05,27.97,78,8,3.51,PH,1711875640
199,talnakh,69.4865,88.3972,-9.23,93,100,6.28,RU,1711875641
200,port alfred,-33.5906,26.891,29.53,50,0,5.14,ZA,1711875641
201,nyurba,63.2842,118.3319,-6.71,83,82,2.65,RU,1711875642
202,constantia,44.1833,28.65,20.39,59,9,5.22,RO,1711875579
203,bunia,1.5667,30.25,21.21,88,100,1.3,CD,1711875622
204,preobrazheniye,42.9019,133.9064,2.04,68,18,5.86,RU,1711875643
205,kualakapuas,-3.0091,114.3876,27.21,88,98,1.95,ID,1711875643
206,yaren,-0.5472,166.916,28.08,83,29,7.31,NR,1711875644
207,okhotsk,59.3833,143.3,-0.44,78,100,2.36,RU,1711875576
208,kodinsk,58.6881,99.1844,1.36,98,100,4.55,RU,1711875645
209,at taj,24.2049,23.2857,27.54,11,0,3.66,LY,1711875645
210,gadzhiyevo,69.2551,33.3362,-3.32,80,100,8.42,RU,1711875646
211,suntar,62.1444,117.6319,-5.93,82,80,2.65,RU,1711875646
212,torgau,51.5667,13.0,14.73,75,24,2.69,DE,1711875647
213,khandyga,62.6667,135.6,-10.91,94,48,1.25,RU,1711875647
214,ves'yegonsk,58.664,37.2604,9.13,73,96,2.89,RU,1711875648
215,san luis de la loma,17.2706,-100.8939,24.99,60,6,1.7,MX,1711875649
216,arteche,12.2645,125.4048,27.54,80,32,3.75,PH,1711875649
217,luderitz,-26.6481,15.1594,20.46,71,21,1.4,NA,1711875650
218,kotli,33.5167,73.9167,23.52,32,3,1.76,PK,1711875650
219,luena,-11.7833,19.9167,21.1,83,40,1.03,AO,1711875650
220,patterson,37.4716,-121.1297,9.88,90,39,1.8,US,1711875518
221,kodiak,57.79,-152.4072,-0.18,71,100,15.15,US,1711875651
222,portland,45.5234,-122.6762,9.02,80,75,5.66,US,1711875281
223,san pedro del parana,-26.8333,-56.2,21.65,65,100,2.15,PY,1711875652
224,brookings,44.3114,-96.7984,0.03,88,100,1.54,US,1711875422
225,el hamma,33.8915,9.7963,24.62,14,0,6.3,TN,1711875653
226,poso,-1.3959,120.7524,29.47,68,26,0.54,ID,1711875653
227,castillos,-34.1667,-53.8333,19.97,92,78,4.73,UY,1711875653
228,pokhara,28.2333,83.9833,33.22,12,57,3.57,NP,1711875654
229,kapuskasing,49.4169,-82.4331,-8.95,85,0,1.54,CA,1711875655
230,aasiaat,68.7098,-52.8699,-13.78,82,100,4.6,GL,1711875656
231,st. john's,47.5649,-52.7093,2.31,94,100,4.12,CA,1711875397
232,waddan,29.1614,16.139,29.28,7,29,3.63,LY,1711875656
233,inda silase,14.1031,38.2829,29.16,15,45,2.87,ET,1711875657
234,santa terezinha,-29.9002,-50.0904,20.62,79,3,1.72,BR,1711875657
235,portales,34.1862,-103.3344,16.38,17,100,6.1,US,1711875658
236,palmas,-10.2128,-48.3603,24.93,94,20,0.51,BR,1711875650
237,puerto ayacucho,5.6639,-67.6236,27.69,64,100,1.64,VE,1711875422
238,cole harbour,44.6724,-63.4751,-0.29,78,7,2.24,CA,1711875659
239,kirillov,59.863,38.3813,3.32,75,45,3.4,RU,1711875659
240,bonne terre,37.9231,-90.5554,15.21,91,98,0.86,US,1711875660
241,nizhneudinsk,54.9076,99.0276,5.81,64,100,3.86,RU,1711875660
242,kununurra,-15.7667,128.7333,29.99,70,100,2.57,AU,1711875661
243,srivardhan,18.0333,73.0167,32.1,50,38,9.37,IN,1711875661
244,dunedin,-45.8742,170.5036,10.45,95,100,1.45,NZ,1711875603
245,hermanus,-34.4187,19.2345,25.45,58,59,7.77,ZA,1711875662
246,villafranca tirrena,38.2401,15.4374,22.45,71,0,9.26,IT,1711875662
247,gaspe,48.8334,-64.4819,-0.88,64,100,4.63,CA,1711875455
248,tulnici,45.9167,26.6667,24.01,29,97,1.36,RO,1711875664
249,tazovsky,67.4667,78.7,-16.01,91,71,7.24,RU,1711875664
250,korla,41.7597,86.1469,22.27,19,74,5.09,CN,1711875664
251,kyzyl-suu,42.3414,78.0056,2.34,85,100,2.38,KG,1711875665
252,mount isa,-20.7333,139.5,24.87,88,100,6.17,AU,1711875650
253,yugorsk,61.3133,63.3319,-1.12,90,100,4.46,RU,1711875657
254,tamanrasset,22.785,5.5228,26.95,19,0,2.06,DZ,1711875666
255,lorengau,-2.0226,147.2712,28.37,78,99,4.82,PG,1711875666
256,lerwick,60.1545,-1.1494,7.0,87,16,1.14,GB,1711875667
257,les cayes,18.2,-73.75,23.42,83,16,2.71,HT,1711875667
258,katsuura,35.1333,140.3,17.84,74,100,8.96,JP,1711875668
259,flying fish cove,-10.4217,105.6791,28.82,69,82,4.63,CX,1711875668
260,callao,-12.0667,-77.15,24.29,83,0,3.6,PE,1711875120
261,acapulco de juarez,16.8634,-99.8901,24.77,68,10,1.37,MX,1711875421
262,hami,42.8,93.45,21.09,19,100,9.51,CN,1711875670
263,douentza,14.9951,-2.9517,35.94,13,100,1.66,ML,1711875670
